idx,sec,nanosec,t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
15,1786799105,709978041,1786799105.709978,-11.595902434678903,-1.9939732668528656,0.08261490278238416,0.0,0.0,0.0,1.0,-0.0002194067115351084,0.00013967508483069685,0.0,0.0,0.0,0.0
16,1786799105,909981262,1786799105.909981,-11.595547821064702,-1.9934269968398768,0.08273473477661634,0.0,0.0,0.0,1.0,-0.0003276054745009111,0.002978154704305974,0.0,0.0,0.0,0.0
17,1786799106,176684487,1786799106.176684,-11.59515744426266,-1.9925551519008975,0.08017176766241813,0.0,0.0,0.0,1.0,-0.0002568234206560941,0.0023094991279727787,0.0,0.0,0.0,0.0
18,1786799106,209952502,1786799106.209953,-11.595174621176636,-1.9924781743493403,0.0796757599442944,0.0,0.0,0.0,1.0,-0.00020460510163400884,0.0018353207372165574,0.0,0.0,0.0,0.0
19,1786799106,243316306,1786799106.243316,-11.59489981653356,-1.9924019801501243,0.08057743787690938,0.0,0.0,0.0,1.0,-0.00014439502402419042,0.0014888884954811826,0.0,0.0,0.0,0.0
20,1786799106,276647213,1786799106.276647,-11.594887687417541,-1.9924598748703513,0.08057743787690938,0.0,0.0,0.0,1.0,-0.00011743077053592399,0.0012134711500668138,0.0,0.0,0.0,0.0
21,1786799106,309946199,1786799106.309946,-11.594763537246791,-1.992517645015077,0.08245350727313078,0.0,0.0,0.0,1.0,-8.823513732595337e-05,0.0009963863100645495,0.0,0.0,0.0,0.0
22,1786799106,643309070,1786799106.643309,-11.594370284034836,-1.992087762681991,0.08328257368012992,0.0,0.0,0.0,1.0,1.223662213090441e-05,0.000666453158464943,0.0,0.0,0.0,0.0
23,1786799106,776678377,1786799106.776678,-11.595490669365335,-1.9920061594482996,0.08094681903463155,0.0,0.0,0.0,1.0,-0.0002956675228018658,0.0004912729485280616,0.0,0.0,0.0,0.0
24,1786799106,810053997,1786799106.810054,-11.595704356214153,-1.9919832387798406,0.08180864632204976,0.0,0.0,0.0,1.0,-0.00027595404151066185,0.0003872095450809871,0.0,0.0,0.0,0.0
25,1786799106,843307604,1786799106.843307,-11.595612616537974,-1.991926433511112,0.08323243173903115,0.0,0.0,0.0,1.0,-0.00020788239158679337,0.0003103681027702801,0.0,0.0,0.0,0.0
26,1786799106,943348901,1786799106.943349,-11.596445115288002,-1.992194137143451,0.08341309869787401,0.0,0.0,0.0,1.0,-0.0014719637733089175,-0.0008063189283372755,0.0,0.0,0.0,0.0
27,1786799107,10081999,1786799107.010082,-11.596400381082157,-1.9922270044622286,0.08438522346680653,0.0,0.0,0.0,1.0,-0.0013420343735344154,-0.0007357635796575442,0.0,0.0,0.0,0.0
28,1786799107,43343827,1786799107.043344,-11.596278435099338,-1.9922785332507622,0.08472552784453405,0.0,0.0,0.0,1.0,-0.0011953484730344128,-0.0006575233616898159,0.0,0.0,0.0,0.0
29,1786799107,443349927,1786799107.443350,-11.598118101421411,-1.992624895801197,0.08419548556914001,0.0,0.0,0.0,1.0,-0.001056776095785927,-0.0003176800141177072,0.0,0.0,0.0,0.0
30,1786799107,943367278,1786799107.943367,-11.598030317699491,-1.9927946653656106,0.08236404107746727,0.0,0.0,0.0,1.0,0.0006882139317396796,-0.0005021391582930859,0.0,0.0,0.0,0.0
31,1786799108,210078826,1786799108.210079,-11.596571101091609,-1.9927222298759169,0.08344763515143844,0.0,0.0,0.0,1.0,0.0004426201361881424,0.0005287092529504825,0.0,0.0,0.0,0.0
32,1786799108,243345761,1786799108.243346,-11.596377905497377,-1.992743318406986,0.08393906128226475,0.0,0.0,0.0,1.0,0.0020542538983121675,0.00036755450383772303,0.0,0.0,0.0,0.0
33,1786799108,310040772,1786799108.310041,-11.596079418792499,-1.9927025565463714,0.08500619350578066,0.0,0.0,0.0,1.0,0.001880695603352037,0.00033691798607253065,0.0,0.0,0.0,0.0
34,1786799108,410102117,1786799108.410102,-11.59537499661861,-1.9924977003326731,0.08384889285413155,0.0,0.0,0.0,1.0,0.0015968678420562829,0.00028476973259545184,0.0,0.0,0.0,0.0
35,1786799108,443391730,1786799108.443392,-11.595287501485958,-1.992137341754504,0.08129236721722612,0.0,0.0,0.0,1.0,-0.0013564849556654032,0.00259604110832245,0.0,0.0,0.0,0.0
36,1786799108,476754256,1786799108.476754,-11.595044842001771,-1.9920535795701553,0.08129236721722612,0.0,0.0,0.0,1.0,-0.0003555928102711274,0.0022044028293620637,0.0,0.0,0.0,0.0
37,1786799108,543369695,1786799108.543370,-11.59476148676956,-1.9919478473313756,0.08412930460649315,0.0,0.0,0.0,1.0,-0.0012961798262591524,-0.0003549422989773247,0.0,0.0,0.0,0.0
38,1786799108,843393253,1786799108.843393,-11.59129725080187,-1.9913408809132211,0.08549444035034579,0.0,0.0,0.0,1.0,-0.0008565040328480211,-0.0002155658137117828,0.0,0.0,0.0,0.0
39,1786799108,943389034,1786799108.943389,-11.591322064261108,-1.9911549753564652,0.08254917503529345,0.0,0.0,0.0,1.0,-0.0011784563364570736,0.0008231593188467545,0.0,0.0,0.0,0.0
40,1786799109,10021304,1786799109.010021,-11.591713994697594,-1.99098544356306,0.08092929073755468,0.0,0.0,0.0,1.0,-0.0014624579048406082,0.00041902454406288816,0.0,0.0,0.0,0.0
41,1786799109,210005282,1786799109.210005,-11.588519299135177,-1.990263015145329,0.08183431707469596,0.0,0.0,0.0,1.0,-0.0011050390544601729,0.0003351140104521061,0.0,0.0,0.0,0.0
42,1786799109,276727955,1786799109.276728,-11.588497252145581,-1.990370874409338,0.08279763304510003,0.0,0.0,0.0,1.0,-0.0009076117621864203,0.00033804083864706755,0.0,0.0,0.0,0.0
43,1786799109,376829851,1786799109.376830,-11.588496492673292,-1.9901927720835662,0.08272929929269002,0.0,0.0,0.0,1.0,-0.0007145320272382083,0.00029274867707408187,0.0,0.0,0.0,0.0
44,1786799109,476781814,1786799109.476782,-11.589132243109473,-1.9902926962375431,0.08167437833414287,0.0,0.0,0.0,1.0,-0.000636441988821558,0.00023798025355868267,0.0,0.0,0.0,0.0
45,1786799109,610035334,1786799109.610035,-11.590108713359639,-1.991063091268194,0.08069266871004656,0.0,0.0,0.0,1.0,-0.00024790922953364376,-0.0026035669345064205,0.0,0.0,0.0,0.0
46,1786799109,843410399,1786799109.843410,-11.591874678616179,-1.992028769067397,0.08144806467923432,0.0,0.0,0.0,1.0,-0.0003240681680602294,-0.002044265522268172,0.0,0.0,0.0,0.0
47,1786799109,876759657,1786799109.876760,-11.591905558535938,-1.9918856638196691,0.08144806467923432,0.0,0.0,0.0,1.0,-0.0002628647698688793,-0.0016412280468600595,0.0,0.0,0.0,0.0
48,1786799109,976799479,1786799109.976799,-11.592133545737656,-1.992114046504026,0.08063833390943047,0.0,0.0,0.0,1.0,-0.00024350328792599994,-0.0012705509489992055,0.0,0.0,0.0,0.0
49,1786799110,10031751,1786799110.010032,-11.590794549661693,-1.9918732296024344,0.08271774434152471,0.0,0.0,0.0,1.0,-6.441528037564227e-05,-0.001040043485161847,0.0,0.0,0.0,0.0
50,1786799110,43404794,1786799110.043405,-11.590777652490553,-1.9919551522117993,0.08398801675939441,0.0,0.0,0.0,1.0,-5.080468239312196e-05,-0.0008450692976167603,0.0,0.0,0.0,0.0
51,1786799110,243584723,1786799110.243585,-11.590962903856722,-1.991824076922284,0.0837195361189301,0.0,0.0,0.0,1.0,-0.0001625193753824277,-0.0005053292845752679,0.0,0.0,0.0,0.0
52,1786799110,276729475,1786799110.276730,-11.590870241906956,-1.9918589787572833,0.0837195361189301,0.0,0.0,0.0,1.0,-0.00011397038766760548,-0.00038401356004067225,0.0,0.0,0.0,0.0
53,1786799110,510099683,1786799110.510100,-11.592413184220655,-1.9920407015590158,0.08339700936264306,0.0,0.0,0.0,1.0,-0.0004331817528282054,-0.00012789616145907252,0.0,0.0,0.0,0.0
54,1786799110,543412200,1786799110.543412,-11.592399810017493,-1.992122162689212,0.08184292684236132,0.0,0.0,0.0,1.0,-0.0003280953260988586,-9.56458595137271e-05,0.0,0.0,0.0,0.0
55,1786799110,976824166,1786799110.976824,-11.593941830175227,-1.992324402695274,0.08254539466033849,0.0,0.0,0.0,1.0,-0.0008491041344855161,2.7550574028097722e-05,0.0,0.0,0.0,0.0
56,1786799111,243434597,1786799111.243435,-11.5954312943863,-1.9925417726304955,0.08533798891567862,0.0,0.0,0.0,1.0,-0.0010060692377284871,3.0047196216829086e-05,0.0,0.0,0.0,0.0
57,1786799111,410077320,1786799111.410077,-11.595697930329381,-1.992702556950218,0.08291384046106345,0.0,0.0,0.0,1.0,-0.0007719318147751625,-5.253442124732693e-05,0.0,0.0,0.0,0.0
