idx,sec,nanosec,t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
31,1786799114,743515600,1786799114.743515,-11.555659645752032,-2.005409912649686,0.08312722713823438,0.0,0.0,0.0,1.0,-0.000623837621966585,-0.0014233606850910505,0.0,0.0,0.0,0.0
32,1786799115,76794053,1786799115.076794,-11.555659645752032,-2.005409912649686,0.08312722713823438,0.0,0.0,0.0,1.0,-0.000623837621966585,-0.0014233606850910505,0.0,0.0,0.0,0.0
33,1786799115,343507258,1786799115.343507,-11.552912882285602,-2.0072611869458625,0.08346806550810527,0.0,0.0,0.0,1.0,-0.001839323875918512,-7.014036103624409e-05,0.0,0.0,0.0,0.0
34,1786799115,543559184,1786799115.543559,-11.551133508931663,-2.0071311331466584,0.08333041350610637,0.0,0.0,0.0,1.0,-0.0016231848482503998,0.00022983405843394003,0.0,0.0,0.0,0.0
35,1786799115,843490167,1786799115.843490,-11.550335357915479,-2.006852950083851,0.08290121922635195,0.0,0.0,0.0,1.0,-0.0006100705660802568,0.0017310412730099356,0.0,0.0,0.0,0.0
36,1786799116,843525988,1786799116.843526,-11.544452990001615,-2.0057168496447626,0.08329290688245594,0.0,0.0,0.0,1.0,0.0015715408499222573,-0.0010846622901572959,0.0,0.0,0.0,0.0
37,1786799117,76906367,1786799117.076906,-11.54075809456373,-2.004589725622482,0.08191151837790901,0.0,0.0,0.0,1.0,0.0016102760049579435,-0.00044092134730381064,0.0,0.0,0.0,0.0
38,1786799117,410189478,1786799117.410189,-11.538019799919587,-2.0049367965699143,0.0822099790082136,0.0,0.0,0.0,1.0,0.00039649234671305873,-0.0005784708294775192,0.0,0.0,0.0,0.0
39,1786799117,843483128,1786799117.843483,-11.535374711493615,-2.0054913636956657,0.08167889341878656,0.0,0.0,0.0,1.0,1.1421787074203187e-05,-0.0032815493364198953,0.0,0.0,0.0,0.0
40,1786799118,543613715,1786799118.543614,-11.53479585369007,-2.0075997296075316,0.0820374505221747,0.0,0.0,0.0,1.0,-0.0011206605110178447,-0.0025308660179601964,0.0,0.0,0.0,0.0
41,1786799118,776894849,1786799118.776895,-11.5338350196679,-2.0078007585137096,0.08009008115194628,0.0,0.0,0.0,1.0,-0.0010549324694200926,-0.0013671098853378695,0.0,0.0,0.0,0.0
