idx,sec,nanosec,t,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
28,1786799103,612074992,1786799103.612075,-11.599999945236023,-1.9999850891496573,0.08310418524340354,0.0,0.0,0.0,1.0,5.276325281089933e-08,8.411433542755339e-08,0.0,0.0,0.0,0.0
29,1786799103,646487049,1786799103.646487,-11.599999943176721,-1.9999850864818036,0.08310620041056457,0.0,0.0,0.0,1.0,7.178778619240683e-08,7.373628957634144e-08,0.0,0.0,0.0,0.0
30,1786799103,682026624,1786799103.682027,-11.599999940393255,-1.999985084245789,0.08310835773827635,0.0,0.0,0.0,1.0,9.020475981750045e-08,6.20959321400144e-08,0.0,0.0,0.0,0.0
31,1786799103,711832390,1786799103.711832,-11.599999937065606,-1.9999850823480851,0.08311043614087539,0.0,0.0,0.0,1.0,1.1096676641476669e-07,5.3028259111264015e-08,0.0,0.0,0.0,0.0
32,1786799103,746198733,1786799103.746199,-11.599999933101829,-1.9999850807125201,0.08311235510895018,0.0,0.0,0.0,1.0,1.2396802062161372e-07,4.6167475647520896e-08,0.0,0.0,0.0,0.0
33,1786799103,781191310,1786799103.781191,-11.599999928774537,-1.9999850792718679,0.08311399020033741,0.0,0.0,0.0,1.0,1.3481107803950273e-07,4.106666156735837e-08,0.0,0.0,0.0,0.0
34,1786799103,814774744,1786799103.814775,-11.59999992405748,-1.999985077972426,0.0831151860093651,0.0,0.0,0.0,1.0,1.4565113835487232e-07,3.764668911594012e-08,0.0,0.0,0.0,0.0
35,1786799103,845635128,1786799103.845635,-11.599999918852427,-1.9999850767557616,0.08311589331037864,0.0,0.0,0.0,1.0,1.6593013848156634e-07,3.575215046342976e-08,0.0,0.0,0.0,0.0
36,1786799103,880520067,1786799103.880520,-11.59999991292128,-1.999985075581739,0.08311610642403033,0.0,0.0,0.0,1.0,1.8783349364151663e-07,3.498826824895645e-08,0.0,0.0,0.0,0.0
37,1786799103,914106407,1786799103.914106,-11.599999906254785,-1.9999850744100844,0.08311582639920738,0.0,0.0,0.0,1.0,2.1001923721698425e-07,3.545273341113665e-08,0.0,0.0,0.0,0.0
38,1786799103,948051435,1786799103.948051,-11.59999989884379,-1.999985073200959,0.08311505485620785,0.0,0.0,0.0,1.0,2.324883939741946e-07,3.715085827555805e-08,0.0,0.0,0.0,0.0
39,1786799103,979268615,1786799103.979269,-11.599999893739191,-1.9999850718592809,0.0831138250741621,0.0,0.0,0.0,1.0,3.307864479435211e-08,4.360441431549573e-08,0.0,0.0,0.0,0.0
40,1786799104,13080211,1786799104.013080,-11.599999896425953,-1.9999850703472515,0.0831122517327421,0.0,0.0,0.0,1.0,-1.7094351903758036e-07,4.688045536793263e-08,0.0,0.0,0.0,0.0
41,1786799104,47423927,1786799104.047424,-11.599999905127328,-1.9999850687148846,0.08311043453530478,0.0,0.0,0.0,1.0,-2.8847212286684416e-07,5.079450884326159e-08,0.0,0.0,0.0,0.0
42,1786799104,78877589,1786799104.078878,-11.599999913840158,-1.9999850669415253,0.08310850225820339,0.0,0.0,0.0,1.0,-2.398606420670171e-07,5.526496649873152e-08,0.0,0.0,0.0,0.0
43,1786799104,113066106,1786799104.113066,-11.599999921001702,-1.9999850650098348,0.08310661966706975,0.0,0.0,0.0,1.0,-1.9488642388279316e-07,6.021457672333245e-08,0.0,0.0,0.0,0.0
44,1786799104,147317886,1786799104.147318,-11.599999926725207,-1.999985062906418,0.08310494597926937,0.0,0.0,0.0,1.0,-1.5331054588109612e-07,6.55357532135113e-08,0.0,0.0,0.0,0.0
45,1786799104,178943395,1786799104.178943,-11.599999931145174,-1.9999850606158438,0.08310360502561098,0.0,0.0,0.0,1.0,-1.1613030880576159e-07,7.131949792200444e-08,0.0,0.0,0.0,0.0
